
XFOIL
Airfoil = OSO-21
Re = 3e6
Ncrit = 9.0
X_trip_upper = 1.0
X_trip_lower = 1.0
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-------  -------  -------  --------  -------  ------  ------
-30.000  -1.0271  0.26747   3000000   0.0830  1.0000  0.0112
-29.000  -1.0212  0.25192   3000000   0.0685  1.0000  0.0123
-28.000  -1.0119  0.23729   3000000   0.0550  1.0000  0.0131
-27.000  -1.0121  0.22041   3000000   0.0402  1.0000  0.0145
-26.000  -1.0104  0.20411   3000000   0.0265  1.0000  0.0153
-25.000  -1.0402  0.18174   3000000   0.0091  1.0000  0.0165
-24.000  -1.0947  0.15595   3000000  -0.0095  1.0000  0.0175
-23.000  -1.1749  0.12769   3000000  -0.0276  1.0000  0.0181
-22.000  -1.2580  0.10118   3000000  -0.0425  1.0000  0.0185
-21.000  -1.3267  0.07849   3000000  -0.0539  1.0000  0.0194
-20.000  -1.3503  0.06290   3000000  -0.0609  1.0000  0.0203
-19.000  -1.3456  0.05141   3000000  -0.0655  1.0000  0.0211
-18.000  -1.3279  0.04192   3000000  -0.0687  1.0000  0.0225
-17.000  -1.2947  0.03444   3000000  -0.0707  1.0000  0.0241
-16.000  -1.2501  0.02856   3000000  -0.0717  1.0000  0.0258
-15.000  -1.2025  0.02387   3000000  -0.0709  1.0000  0.0279
-14.000  -1.1152  0.01983   3000000  -0.0756  0.9788  0.0310
-13.000  -1.0412  0.01733   3000000  -0.0753  0.7254  0.0343
-12.000  -0.9391  0.01501   3000000  -0.0793  0.6499  0.0389
-11.000  -0.8216  0.01313   3000000  -0.0849  0.6015  0.0449
-10.000  -0.6943  0.01164   3000000  -0.0911  0.5664  0.0529
 -9.000  -0.5671  0.01059   3000000  -0.0960  0.5355  0.0637
 -8.000  -0.4386  0.00974   3000000  -0.1005  0.5118  0.0784
 -7.000  -0.3089  0.00905   3000000  -0.1048  0.4894  0.0987
 -6.000  -0.1780  0.00843   3000000  -0.1092  0.4685  0.1283
 -5.000  -0.0461  0.00789   3000000  -0.1137  0.4505  0.1715
 -4.000   0.0874  0.00734   3000000  -0.1186  0.4333  0.2412
 -3.000   0.2224  0.00679   3000000  -0.1237  0.4168  0.3447
 -2.000   0.3536  0.00656   3000000  -0.1278  0.4008  0.4264
