
XFOIL
Airfoil = OSO-21
Re = 3e6
Ncrit = 9.0
X_trip_upper = 1.0
X_trip_lower = 1.0
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
 -1.000   0.4809  0.00656   3000000  -0.1307  0.3873  0.4728
  0.000   0.6067  0.00664   3000000  -0.1332  0.3763  0.5055
  1.000   0.7308  0.00683   3000000  -0.1354  0.3635  0.5312
  2.000   0.8537  0.00709   3000000  -0.1374  0.3499  0.5515
  3.000   0.9758  0.00732   3000000  -0.1392  0.3417  0.5659
  4.000   1.0968  0.00765   3000000  -0.1410  0.3299  0.5825
  5.000   1.2164  0.00800   3000000  -0.1425  0.3200  0.5962
  6.000   1.3347  0.00838   3000000  -0.1438  0.3109  0.6062
  7.000   1.4508  0.00889   3000000  -0.1448  0.2984  0.6215
  8.000   1.5660  0.00935   3000000  -0.1457  0.2891  0.6330
  9.000   1.6773  0.01002   3000000  -0.1460  0.2727  0.6445
 10.000   1.7846  0.01085   3000000  -0.1458  0.2539  0.6574
 11.000   1.8852  0.01196   3000000  -0.1445  0.2293  0.6668
 12.000   1.9602  0.01432   3000000  -0.1394  0.1771  0.6811
 13.000   1.9408  0.02011   3000000  -0.1208  0.0984  0.6909
 14.000   1.9063  0.03088   3000000  -0.1109  0.0566  0.7035
 15.000   1.8683  0.04626   3000000  -0.1089  0.0422  0.7127
 16.000   1.8081  0.06465   3000000  -0.1078  0.0355  0.7223
 17.000   1.7509  0.08392   3000000  -0.1085  0.0311  0.7285
 18.000   1.7089  0.10199   3000000  -0.1105  0.0274  0.7393
 19.000   1.6772  0.11916   3000000  -0.1138  0.0242  0.7464
 20.000   1.6586  0.13489   3000000  -0.1184  0.0219  0.7578
 21.000   1.6552  0.14843   3000000  -0.1235  0.0197  0.7662
 22.000   1.6509  0.16239   3000000  -0.1303  0.0178  0.7796
 23.000   1.6569  0.17459   3000000  -0.1372  0.0164  0.7923
 24.000   1.6650  0.18639   3000000  -0.1447  0.0150  0.8060
 25.000   1.6759  0.19762   3000000  -0.1528  0.0139  0.8236
 26.000   1.6848  0.20901   3000000  -0.1617  0.0127  0.8451
 27.000   1.6975  0.21954   3000000  -0.1706  0.0121  0.8919
 28.000   1.7055  0.23040   3000000  -0.1803  0.0112  1.0000
 29.000   1.7137  0.24134   3000000  -0.1909  0.0105  1.0000
 30.000   1.7241  0.25153   3000000  -0.2015  0.0099  1.0000

XFOIL
Airfoil = OSO-21
Re = 3e6
Ncrit = 3.0
X_trip_upper = 0.05
X_trip_lower = 0.05
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-------  -------  -------  --------  -------  ------  ------
-30.000  -0.9955  0.27677   3000000   0.0890  1.0000  0.0075
-29.000  -0.9810  0.26294   3000000   0.0758  1.0000  0.0082
-28.000  -0.9743  0.24690   3000000   0.0615  1.0000  0.0091
-27.000  -0.9732  0.22968   3000000   0.0468  1.0000  0.0100
-26.000  -0.9757  0.21186   3000000   0.0319  1.0000  0.0106
-25.000  -1.0056  0.18873   3000000   0.0140  1.0000  0.0114
-24.000  -1.0599  0.16222   3000000  -0.0052  1.0000  0.0123
-23.000  -1.1433  0.13272   3000000  -0.0244  1.0000  0.0127
-22.000  -1.2289  0.10533   3000000  -0.0401  1.0000  0.0129
-21.000  -1.2905  0.08315   3000000  -0.0515  1.0000  0.0133
-20.000  -1.3208  0.06639   3000000  -0.0592  1.0000  0.0139
-19.000  -1.3230  0.05386   3000000  -0.0644  1.0000  0.0146
-18.000  -1.3062  0.04405   3000000  -0.0680  1.0000  0.0153
-17.000  -1.2734  0.03697   3000000  -0.0703  0.6802  0.0165
-16.000  -1.2282  0.03088   3000000  -0.0720  0.6250  0.0177
-15.000  -1.1726  0.02606   3000000  -0.0730  0.5861  0.0187
-14.000  -1.1064  0.02298   3000000  -0.0743  0.0500  0.0208
-13.000  -1.0330  0.01981   3000000  -0.0748  0.0500  0.0227
-12.000  -0.9438  0.01737   3000000  -0.0768  0.0500  0.0252
-11.000  -0.8322  0.01541   3000000  -0.0816  0.0500  0.0285
-10.000  -0.7085  0.01384   3000000  -0.0876  0.0500  0.0335
 -9.000  -0.5816  0.01276   3000000  -0.0928  0.0500  0.0398
 -8.000  -0.4548  0.01201   3000000  -0.0970  0.0500  0.0473
 -7.000  -0.3280  0.01156   3000000  -0.1006  0.0500  0.0500
 -6.000  -0.2013  0.01128   3000000  -0.1039  0.0500  0.0500
 -5.000  -0.0746  0.01109   3000000  -0.1071  0.0500  0.0500
 -4.000   0.0518  0.01099   3000000  -0.1102  0.0500  0.0500
 -3.000   0.1778  0.01097   3000000  -0.1132  0.0500  0.0500
 -2.000   0.3033  0.01102   3000000  -0.1160  0.0500  0.0500
 -1.000   0.4279  0.01114   3000000  -0.1186  0.0500  0.0500
  0.000   0.5515  0.01134   3000000  -0.1210  0.0500  0.0500
  1.000   0.6739  0.01161   3000000  -0.1233  0.0500  0.0500
  2.000   0.7950  0.01194   3000000  -0.1253  0.0500  0.0500
  3.000   0.9144  0.01235   3000000  -0.1270  0.0500  0.0500
  4.000   1.0319  0.01284   3000000  -0.1285  0.0500  0.0500
  5.000   1.1471  0.01340   3000000  -0.1295  0.0500  0.0500
  6.000   1.2596  0.01406   3000000  -0.1302  0.0500  0.0500
  7.000   1.3687  0.01482   3000000  -0.1303  0.0500  0.0500
  8.000   1.4734  0.01569   3000000  -0.1298  0.0500  0.0500
  9.000   1.5720  0.01671   3000000  -0.1284  0.0500  0.0500
 10.000   1.6608  0.01793   3000000  -0.1254  0.0500  0.0500
 11.000   1.7133  0.02015   3000000  -0.1171  0.0415  0.0500
 12.000   1.7512  0.02435   3000000  -0.1099  0.0302  0.0500
 13.000   1.7771  0.03156   3000000  -0.1065  0.0247  0.0500
 14.000   1.7781  0.04304   3000000  -0.1056  0.0210  0.0500
 18.000   1.6558  0.10915   3000000  -0.1119  0.0149  0.6757
 19.000   1.6366  0.12491   3000000  -0.1155  0.0138  0.6832
 20.000   1.6307  0.13892   3000000  -0.1199  0.0127  0.6917
 21.000   1.6269  0.15280   3000000  -0.1256  0.0117  0.7011
 22.000   1.6321  0.16528   3000000  -0.1318  0.0106  0.7090
 23.000   1.6425  0.17681   3000000  -0.1385  0.0101  0.7207
 24.000   1.6536  0.18815   3000000  -0.1459  0.0094  0.7287
 25.000   1.6650  0.19935   3000000  -0.1540  0.0086  0.7420
 26.000   1.6777  0.21001   3000000  -0.1624  0.0081  0.7510
 27.000   1.6895  0.22067   3000000  -0.1715  0.0075  0.7647
 28.000   1.7002  0.23136   3000000  -0.1813  0.0070  0.7769
 29.000   1.7112  0.24176   3000000  -0.1915  0.0067  0.7921
 30.000   1.7206  0.25220   3000000  -0.2023  0.0063  0.8074

XFOIL
Airfoil = OSO-21
Re = 6e6
Ncrit = 9.0
X_trip_upper = 1.0
X_trip_lower = 1.0
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-------  -------  -------  --------  -------  ------  ------
-30.000  -1.0566  0.25996   6000000   0.0776  1.0000  0.0101
-29.000  -1.0447  0.24639   6000000   0.0643  1.0000  0.0106
-28.000  -1.0586  0.22658   6000000   0.0470  1.0000  0.0118
-27.000  -1.0852  0.20460   6000000   0.0285  1.0000  0.0127
-26.000  -1.1287  0.18038   6000000   0.0091  1.0000  0.0131
-25.000  -1.2286  0.14777   6000000  -0.0145  1.0000  0.0141
-24.000  -1.3314  0.11778   6000000  -0.0334  1.0000  0.0146
-23.000  -1.4112  0.09328   6000000  -0.0469  1.0000  0.0150
-22.000  -1.4509  0.07548   6000000  -0.0555  1.0000  0.0154
-21.000  -1.4672  0.06132   6000000  -0.0617  1.0000  0.0157
-20.000  -1.4705  0.04935   6000000  -0.0662  1.0000  0.0170
-19.000  -1.4497  0.04044   6000000  -0.0690  1.0000  0.0179
-18.000  -1.4117  0.03356   6000000  -0.0708  1.0000  0.0186
-17.000  -1.3693  0.02749   6000000  -0.0719  1.0000  0.0204
-16.000  -1.3138  0.02309   6000000  -0.0719  1.0000  0.0213
-15.000  -1.2393  0.01938   6000000  -0.0739  0.8617  0.0239
-14.000  -1.1614  0.01680   6000000  -0.0747  0.6873  0.0261
-13.000  -1.0580  0.01451   6000000  -0.0787  0.6275  0.0288
-12.000  -0.9400  0.01263   6000000  -0.0843  0.5852  0.0329
-11.000  -0.8120  0.01109   6000000  -0.0908  0.5518  0.0388
-10.000  -0.6850  0.01009   6000000  -0.0955  0.5224  0.0454
 -9.000  -0.5572  0.00930   6000000  -0.0997  0.4964  0.0545
 -8.000  -0.4284  0.00864   6000000  -0.1038  0.4760  0.0663
 -7.000  -0.2986  0.00808   6000000  -0.1078  0.4563  0.0829
 -6.000  -0.1683  0.00760   6000000  -0.1118  0.4379  0.1051
 -5.000  -0.0378  0.00721   6000000  -0.1157  0.4205  0.1356
 -4.000   0.0937  0.00682   6000000  -0.1198  0.4062  0.1822
 -3.000   0.2264  0.00640   6000000  -0.1242  0.3940  0.2540
 -2.000   0.3592  0.00604   6000000  -0.1287  0.3802  0.3474
 -1.000   0.4887  0.00591   6000000  -0.1322  0.3652  0.4198
  0.000   0.6155  0.00593   6000000  -0.1350  0.3550  0.4656
  1.000   0.7408  0.00602   6000000  -0.1374  0.3443  0.4983
  2.000   0.8644  0.00623   6000000  -0.1396  0.3311  0.5243
  3.000   0.9872  0.00644   6000000  -0.1416  0.3227  0.5438
  4.000   1.1090  0.00668   6000000  -0.1434  0.3129  0.5602
  5.000   1.2291  0.00703   6000000  -0.1450  0.3014  0.5734
  6.000   1.3488  0.00731   6000000  -0.1465  0.2944  0.5852
  7.000   1.4664  0.00774   6000000  -0.1478  0.2823  0.6004
  8.000   1.5813  0.00827   6000000  -0.1486  0.2657  0.6106
  9.000   1.6937  0.00892   6000000  -0.1491  0.2476  0.6239
 10.000   1.7996  0.00993   6000000  -0.1487  0.2185  0.6360
 11.000   1.8799  0.01248   6000000  -0.1443  0.1474  0.6457
 12.000   1.9079  0.01668   6000000  -0.1316  0.0659  0.6594
 13.000   1.9277  0.02072   6000000  -0.1195  0.0407  0.6669
 14.000   1.9504  0.02680   6000000  -0.1130  0.0309  0.6822
 15.000   1.9565  0.03684   6000000  -0.1106  0.0260  0.6895
 16.000   1.9277  0.05122   6000000  -0.1089  0.0232  0.7027
 17.000   1.8718  0.06926   6000000  -0.1082  0.0209  0.7077
 18.000   1.8222  0.08753   6000000  -0.1090  0.0195  0.7190
 19.000   1.7825  0.10504   6000000  -0.1110  0.0178  0.7263
 20.000   1.7540  0.12148   6000000  -0.1144  0.0166  0.7353
 21.000   1.7332  0.13717   6000000  -0.1192  0.0152  0.7449
 22.000   1.7308  0.15024   6000000  -0.1244  0.0141  0.7555
 23.000   1.7254  0.16396   6000000  -0.1312  0.0128  0.7652
 24.000   1.7303  0.17592   6000000  -0.1382  0.0121  0.7792
 25.000   1.7353  0.18784   6000000  -0.1461  0.0109  0.7916
 26.000   1.7459  0.19868   6000000  -0.1541  0.0104  0.8075
 27.000   1.7559  0.20937   6000000  -0.1627  0.0098  0.8258
 28.000   1.7626  0.22048   6000000  -0.1724  0.0088  0.8518
 29.000   1.7731  0.23058   6000000  -0.1818  0.0085  1.0000
 30.000   1.7883  0.23955   6000000  -0.1909  0.0081  1.0000

XFOIL
Airfoil = OSO-21
Re = 6e6
Ncrit = 3.0
X_trip_upper = 0.05
X_trip_lower = 0.05
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-------  -------  -------  --------  -------  ------  ------
-30.000  -1.0205  0.26991   6000000   0.0843  1.0000  0.0066
-29.000  -1.0204  0.25263   6000000   0.0687  1.0000  0.0075
-28.000  -1.0252  0.23449   6000000   0.0527  1.0000  0.0082
-27.000  -1.0365  0.21516   6000000   0.0363  1.0000  0.0086
-26.000  -1.0793  0.19006   6000000   0.0162  1.0000  0.0094
-25.000  -1.1545  0.16055   6000000  -0.0057  1.0000  0.0099
-24.000  -1.2487  0.13033   6000000  -0.0258  1.0000  0.0101
-23.000  -1.3380  0.10338   6000000  -0.0413  1.0000  0.0103
-22.000  -1.3981  0.08210   6000000  -0.0522  1.0000  0.0105
-21.000  -1.4247  0.06627   6000000  -0.0594  1.0000  0.0107
-20.000  -1.4330  0.05335   6000000  -0.0646  1.0000  0.0116
-19.000  -1.4177  0.04424   6000000  -0.0679  0.6837  0.0123
-18.000  -1.3847  0.03675   6000000  -0.0702  0.6336  0.0128
-17.000  -1.3404  0.03060   6000000  -0.0719  0.5937  0.0135
-16.000  -1.2886  0.02551   6000000  -0.0729  0.5600  0.0147
-15.000  -1.2233  0.02155   6000000  -0.0737  0.5341  0.0157
-13.000  -1.0601  0.01662   6000000  -0.0766  0.0500  0.0188
-12.000  -0.9483  0.01462   6000000  -0.0814  0.0500  0.0212
-11.000  -0.8241  0.01305   6000000  -0.0875  0.0500  0.0245
-10.000  -0.6969  0.01198   6000000  -0.0927  0.0500  0.0281
 -9.000  -0.5703  0.01122   6000000  -0.0968  0.0500  0.0331
 -8.000  -0.4425  0.01061   6000000  -0.1008  0.0500  0.0400
 -7.000  -0.3141  0.01014   6000000  -0.1046  0.0500  0.0489
 -6.000  -0.1869  0.00992   6000000  -0.1078  0.0500  0.0500
 -5.000  -0.0600  0.00979   6000000  -0.1109  0.0500  0.0500
 -4.000   0.0666  0.00973   6000000  -0.1138  0.0500  0.0500
 -3.000   0.1928  0.00973   6000000  -0.1167  0.0500  0.0500
 -2.000   0.3185  0.00979   6000000  -0.1194  0.0500  0.0500
 -1.000   0.4434  0.00991   6000000  -0.1220  0.0500  0.0500
  0.000   0.5674  0.01009   6000000  -0.1244  0.0500  0.0500
  1.000   0.6904  0.01033   6000000  -0.1266  0.0500  0.0500
  2.000   0.8122  0.01062   6000000  -0.1287  0.0500  0.0500
  3.000   0.9326  0.01098   6000000  -0.1305  0.0500  0.0500
  4.000   1.0514  0.01140   6000000  -0.1321  0.0500  0.0500
  5.000   1.1683  0.01188   6000000  -0.1334  0.0500  0.0500
  6.000   1.2831  0.01243   6000000  -0.1343  0.0500  0.0500
  7.000   1.3952  0.01306   6000000  -0.1349  0.0500  0.0500
  8.000   1.5041  0.01378   6000000  -0.1350  0.0500  0.0500
  9.000   1.6089  0.01459   6000000  -0.1344  0.0500  0.0500
 10.000   1.6981  0.01610   6000000  -0.1314  0.0340  0.0500
 11.000   1.7627  0.01781   6000000  -0.1243  0.0250  0.0500
 12.000   1.8162  0.02035   6000000  -0.1169  0.0201  0.0500
 16.000   1.8621  0.05845   6000000  -0.1083  0.0127  0.6417
 17.000   1.8175  0.07575   6000000  -0.1082  0.0120  0.6462
 18.000   1.7695  0.09418   6000000  -0.1096  0.0111  0.6551
 19.000   1.7381  0.11091   6000000  -0.1121  0.0104  0.6639
 20.000   1.7154  0.12680   6000000  -0.1158  0.0099  0.6682
 21.000   1.7086  0.14064   6000000  -0.1204  0.0091  0.6804
 22.000   1.7006  0.15477   6000000  -0.1265  0.0085  0.6868
 23.000   1.7057  0.16692   6000000  -0.1328  0.0080  0.6969
 24.000   1.7119  0.17875   6000000  -0.1398  0.0073  0.7065
 25.000   1.7211  0.19002   6000000  -0.1474  0.0068  0.7156
 26.000   1.7323  0.20081   6000000  -0.1555  0.0066  0.7266
 27.000   1.7425  0.21147   6000000  -0.1642  0.0062  0.7372
 28.000   1.7509  0.22231   6000000  -0.1737  0.0056  0.7473
 29.000   1.7603  0.23277   6000000  -0.1836  0.0052  0.7611
 30.000   1.7697  0.24298   6000000  -0.1939  0.0051  0.7734

XFOIL
Airfoil = OSO-21
Re = 12e6
Ncrit = 9.0
X_trip_upper = 1.0
X_trip_lower = 1.0
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-------  -------  -------  --------  -------  ------  ------
-29.000  -1.1316  0.22647  12000000   0.0493  1.0000  0.0100
-28.000  -1.1728  0.20243  12000000   0.0285  1.0000  0.0105
-27.000  -1.2274  0.17723  12000000   0.0078  1.0000  0.0106
-26.000  -1.3293  0.14558  12000000  -0.0157  1.0000  0.0113
-25.000  -1.4383  0.11569  12000000  -0.0348  1.0000  0.0119
-24.000  -1.5154  0.09238  12000000  -0.0476  1.0000  0.0123
-23.000  -1.5666  0.07364  12000000  -0.0566  1.0000  0.0127
-22.000  -1.5766  0.06072  12000000  -0.0620  1.0000  0.0129
-21.000  -1.5763  0.04937  12000000  -0.0662  1.0000  0.0134
-20.000  -1.5601  0.04021  12000000  -0.0690  1.0000  0.0145
-19.000  -1.5267  0.03302  12000000  -0.0708  1.0000  0.0152
-18.000  -1.4785  0.02743  12000000  -0.0719  1.0000  0.0156
-17.000  -1.4264  0.02245  12000000  -0.0727  0.9967  0.0175
-16.000  -1.3557  0.01944  12000000  -0.0733  0.7294  0.0183
-15.000  -1.2805  0.01643  12000000  -0.0740  0.6522  0.0203
-14.000  -1.1772  0.01416  12000000  -0.0780  0.6010  0.0221
-13.000  -1.0593  0.01228  12000000  -0.0836  0.5663  0.0247
-12.000  -0.9312  0.01077  12000000  -0.0901  0.5348  0.0282
-11.000  -0.8043  0.00977  12000000  -0.0947  0.5089  0.0324
-10.000  -0.6769  0.00897  12000000  -0.0988  0.4854  0.0389
 -9.000  -0.5487  0.00833  12000000  -0.1026  0.4646  0.0459
 -8.000  -0.4197  0.00778  12000000  -0.1065  0.4449  0.0563
 -7.000  -0.2901  0.00732  12000000  -0.1102  0.4283  0.0692
 -6.000  -0.1602  0.00692  12000000  -0.1139  0.4137  0.0865
 -5.000  -0.0304  0.00661  12000000  -0.1175  0.3982  0.1080
 -4.000   0.0999  0.00631  12000000  -0.1212  0.3826  0.1424
 -3.000   0.2302  0.00606  12000000  -0.1249  0.3685  0.1886
 -2.000   0.3613  0.00579  12000000  -0.1288  0.3584  0.2561
 -1.000   0.4919  0.00556  12000000  -0.1326  0.3469  0.3356
  0.000   0.6205  0.00550  12000000  -0.1359  0.3321  0.4067
  1.000   0.7468  0.00552  12000000  -0.1386  0.3256  0.4499
  2.000   0.8716  0.00564  12000000  -0.1410  0.3140  0.4869
  3.000   0.9949  0.00583  12000000  -0.1431  0.3039  0.5139
  4.000   1.1175  0.00601  12000000  -0.1451  0.2964  0.5337
  5.000   1.2382  0.00633  12000000  -0.1467  0.2833  0.5473
  6.000   1.3588  0.00656  12000000  -0.1485  0.2782  0.5645
  7.000   1.4762  0.00703  12000000  -0.1497  0.2602  0.5791
  8.000   1.5906  0.00766  12000000  -0.1505  0.2363  0.5881
  9.000   1.7004  0.00856  12000000  -0.1506  0.2049  0.6036
 10.000   1.7861  0.01113  12000000  -0.1470  0.1179  0.6149
 11.000   1.8586  0.01394  12000000  -0.1412  0.0515  0.6251
 12.000   1.9314  0.01589  12000000  -0.1356  0.0326  0.6390
 13.000   1.9759  0.01816  12000000  -0.1255  0.0257  0.6463
 15.000   2.0413  0.02823  12000000  -0.1128  0.0180  0.6691
 16.000   2.0455  0.03859  12000000  -0.1107  0.0166  0.6833
 17.000   2.0082  0.05367  12000000  -0.1088  0.0152  0.6883
 18.000   1.9593  0.07078  12000000  -0.1081  0.0146  0.7009
 19.000   1.9016  0.08975  12000000  -0.1090  0.0135  0.7067
 20.000   1.8624  0.10685  12000000  -0.1110  0.0127  0.7156
 21.000   1.8310  0.12336  12000000  -0.1146  0.0120  0.7249
 22.000   1.8060  0.13934  12000000  -0.1198  0.0109  0.7310
 23.000   1.8044  0.15194  12000000  -0.1250  0.0104  0.7441
 24.000   1.8048  0.16430  12000000  -0.1314  0.0098  0.7532
 25.000   1.7968  0.17798  12000000  -0.1396  0.0088  0.7648
 26.000   1.8045  0.18907  12000000  -0.1472  0.0085  0.7785
 28.000   1.8176  0.21099  12000000  -0.1647  0.0074  0.8080
 29.000   1.8336  0.21993  12000000  -0.1729  0.0068  0.8292

XFOIL
Airfoil = OSO-21
Re = 12e6
Ncrit = 3.0
X_trip_upper = 0.05
X_trip_lower = 0.05
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-------  -------  -------  --------  -------  ------  ------
-30.000  -1.0695  0.25715  12000000   0.0752  1.0000  0.0063
-28.000  -1.1032  0.21699  12000000   0.0397  1.0000  0.0069
-27.000  -1.1534  0.19119  12000000   0.0184  1.0000  0.0075
-26.000  -1.2415  0.16025  12000000  -0.0054  1.0000  0.0080
-25.000  -1.3301  0.13178  12000000  -0.0248  1.0000  0.0082
-24.000  -1.4265  0.10437  12000000  -0.0409  1.0000  0.0084
-23.000  -1.4931  0.08271  12000000  -0.0521  1.0000  0.0085
-22.000  -1.5231  0.06681  12000000  -0.0593  1.0000  0.0086
-20.000  -1.5204  0.04470  12000000  -0.0679  0.6232  0.0097
-19.000  -1.4929  0.03679  12000000  -0.0702  0.5921  0.0102
-18.000  -1.4504  0.03055  12000000  -0.0718  0.5593  0.0105
-17.000  -1.4000  0.02535  12000000  -0.0728  0.5348  0.0115
-16.000  -1.3387  0.02118  12000000  -0.0735  0.5123  0.0124
-15.000  -1.2624  0.01805  12000000  -0.0743  0.4919  0.0129
-13.000  -1.0652  0.01407  12000000  -0.0809  0.0500  0.0158
-12.000  -0.9412  0.01245  12000000  -0.0871  0.0500  0.0181
-11.000  -0.8136  0.01134  12000000  -0.0924  0.0500  0.0208
-10.000  -0.6872  0.01056  12000000  -0.0964  0.0500  0.0242
 -9.000  -0.5599  0.00996  12000000  -0.1002  0.0500  0.0282
 -8.000  -0.4318  0.00948  12000000  -0.1039  0.0500  0.0338
 -7.000  -0.3033  0.00910  12000000  -0.1075  0.0500  0.0406
 -6.000  -0.1747  0.00881  12000000  -0.1111  0.0500  0.0499
 -5.000  -0.0476  0.00872  12000000  -0.1140  0.0500  0.0500
 -4.000   0.0791  0.00868  12000000  -0.1169  0.0500  0.0500
 -3.000   0.2054  0.00870  12000000  -0.1196  0.0500  0.0500
 -2.000   0.3312  0.00876  12000000  -0.1223  0.0500  0.0500
 -1.000   0.4564  0.00888  12000000  -0.1248  0.0500  0.0500
  0.000   0.5807  0.00904  12000000  -0.1272  0.0500  0.0500
  1.000   0.7042  0.00925  12000000  -0.1295  0.0500  0.0500
  2.000   0.8266  0.00951  12000000  -0.1315  0.0500  0.0500
  3.000   0.9477  0.00983  12000000  -0.1334  0.0500  0.0500
  4.000   1.0675  0.01019  12000000  -0.1351  0.0500  0.0500
  5.000   1.1857  0.01061  12000000  -0.1366  0.0500  0.0500
  6.000   1.3021  0.01108  12000000  -0.1377  0.0500  0.0500
  7.000   1.4164  0.01161  12000000  -0.1386  0.0500  0.0500
  8.000   1.5271  0.01229  12000000  -0.1389  0.0465  0.0500
  9.000   1.6297  0.01339  12000000  -0.1380  0.0305  0.0500
 10.000   1.7273  0.01455  12000000  -0.1363  0.0222  0.0500
 11.000   1.8166  0.01584  12000000  -0.1333  0.0175  0.0500
 12.000   1.8773  0.01744  12000000  -0.1254  0.0149  0.0500
 15.000   2.0080  0.03134  12000000  -0.1115  0.0101  0.6089
 16.000   1.9990  0.04344  12000000  -0.1098  0.0093  0.6208
 17.000   1.9554  0.05944  12000000  -0.1082  0.0087  0.6257
 18.000   1.9077  0.07684  12000000  -0.1081  0.0085  0.6363
 19.000   1.8563  0.09538  12000000  -0.1094  0.0082  0.6427
 20.000   1.8184  0.11262  12000000  -0.1120  0.0076  0.6471
 21.000   1.7893  0.12909  12000000  -0.1162  0.0069  0.6581
 22.000   1.7842  0.14231  12000000  -0.1208  0.0067  0.6651
 23.000   1.7732  0.15657  12000000  -0.1272  0.0064  0.6739
 24.000   1.7748  0.16889  12000000  -0.1338  0.0060  0.6832
 25.000   1.7789  0.18067  12000000  -0.1411  0.0054  0.6904
 26.000   1.7869  0.19179  12000000  -0.1489  0.0052  0.7026
 27.000   1.7954  0.20262  12000000  -0.1573  0.0049  0.7090
 28.000   1.8027  0.21336  12000000  -0.1664  0.0046  0.7231
 29.000   1.8094  0.22408  12000000  -0.1761  0.0043  0.7295
 30.000   1.8166  0.23449  12000000  -0.1862  0.0039  0.7445

XFOIL
Airfoil = OSO-21
Re = 18e6
Ncrit = 9.0
X_trip_upper = 1.0
X_trip_lower = 1.0
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-------  -------  -------  --------  -------  ------  ------
-30.000  -1.1499  0.23807  18000000   0.0608  1.0000  0.0085
-29.000  -1.1884  0.21461  18000000   0.0398  1.0000  0.0089
-28.000  -1.2539  0.18713  18000000   0.0165  1.0000  0.0099
-27.000  -1.3534  0.15565  18000000  -0.0082  1.0000  0.0103
-26.000  -1.4407  0.12858  18000000  -0.0269  1.0000  0.0105
-25.000  -1.5348  0.10247  18000000  -0.0423  1.0000  0.0105
-24.000  -1.5897  0.08299  18000000  -0.0523  1.0000  0.0106
-23.000  -1.6248  0.06691  18000000  -0.0596  1.0000  0.0111
-22.000  -1.6419  0.05358  18000000  -0.0648  1.0000  0.0120
-21.000  -1.6321  0.04373  18000000  -0.0680  1.0000  0.0126
-20.000  -1.6026  0.03612  18000000  -0.0700  1.0000  0.0129
-19.000  -1.5620  0.02980  18000000  -0.0714  1.0000  0.0136
-18.000  -1.5150  0.02432  18000000  -0.0723  0.9992  0.0148
-17.000  -1.4525  0.02075  18000000  -0.0728  0.7266  0.0154
-16.000  -1.3795  0.01749  18000000  -0.0737  0.6522  0.0171
-15.000  -1.2915  0.01494  18000000  -0.0756  0.6016  0.0182
-14.000  -1.1797  0.01282  18000000  -0.0807  0.5664  0.0206
-13.000  -1.0552  0.01118  18000000  -0.0868  0.5351  0.0231
-12.000  -0.9267  0.00999  18000000  -0.0924  0.5099  0.0260
