  
       RFOIL         Version 1.1
  
 Calculated polar for: OSO-21-WT1                      
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    18.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -22.000  -1.1488   0.10660  18.00000  -0.0270  1.0000  0.0134   0.10468
 -21.000  -1.2371   0.07710  18.00000  -0.0476  1.0000  0.0139   0.07478
 -20.000  -1.2824   0.05808  18.00000  -0.0598  1.0000  0.0144   0.05550
 -19.000  -1.3060   0.04436  18.00000  -0.0674  1.0000  0.0149   0.04155
 -18.000  -1.3014   0.03552  18.00000  -0.0714  0.7450  0.0155   0.03189
 -17.000  -1.2932   0.02801  18.00000  -0.0735  0.6641  0.0164   0.02408
 -16.000  -1.2704   0.02226  18.00000  -0.0740  0.6184  0.0175   0.01813
 -15.000  -1.2217   0.01802  18.00000  -0.0747  0.5832  0.0187   0.01374
 -14.000  -1.1560   0.01465  18.00000  -0.0759  0.5542  0.0203   0.01027
 -13.000  -1.0667   0.01228  18.00000  -0.0789  0.5255  0.0225   0.00781
 -12.000  -0.9430   0.01060  18.00000  -0.0859  0.5015  0.0252   0.00607
 -11.000  -0.8082   0.00934  18.00000  -0.0937  0.4795  0.0292   0.00475
 -10.000  -0.6788   0.00855  18.00000  -0.0984  0.4596  0.0340   0.00395
  -9.000  -0.5494   0.00793  18.00000  -0.1026  0.4413  0.0402   0.00333
  -8.000  -0.4198   0.00744  18.00000  -0.1065  0.4234  0.0482   0.00284
  -7.000  -0.2897   0.00702  18.00000  -0.1104  0.4077  0.0583   0.00243
  -6.000  -0.1594   0.00667  18.00000  -0.1142  0.3935  0.0728   0.00211
  -5.000  -0.0294   0.00639  18.00000  -0.1178  0.3796  0.0904   0.00186
  -4.000   0.1007   0.00615  18.00000  -0.1214  0.3668  0.1147   0.00167
  -3.000   0.2307   0.00594  18.00000  -0.1249  0.3549  0.1472   0.00153
  -2.000   0.3606   0.00577  18.00000  -0.1285  0.3434  0.1909   0.00144
  -1.000   0.4905   0.00561  18.00000  -0.1321  0.3325  0.2507   0.00140
   0.000   0.6206   0.00545  18.00000  -0.1357  0.3220  0.3306   0.00140
   1.000   0.7488   0.00540  18.00000  -0.1389  0.3119  0.3998   0.00146
   2.000   0.8745   0.00547  18.00000  -0.1416  0.3023  0.4471   0.00159
   3.000   0.9987   0.00559  18.00000  -0.1439  0.2931  0.4845   0.00175
   4.000   1.1213   0.00578  18.00000  -0.1459  0.2842  0.5111   0.00195
   5.000   1.2428   0.00601  18.00000  -0.1477  0.2755  0.5321   0.00218
   6.000   1.3621   0.00636  18.00000  -0.1493  0.2606  0.5484   0.00250
   7.000   1.4777   0.00695  18.00000  -0.1502  0.2353  0.5622   0.00297
   8.000   1.5858   0.00807  18.00000  -0.1500  0.1868  0.5758   0.00384
   9.000   1.6747   0.01043  18.00000  -0.1468  0.0969  0.5886   0.00568
  10.000   1.7611   0.01245  18.00000  -0.1431  0.0461  0.6012   0.00741
  11.000   1.8484   0.01391  18.00000  -0.1397  0.0316  0.6127   0.00879
  12.000   1.9064   0.01562  18.00000  -0.1311  0.0243  0.6241   0.01050
  13.000   1.9448   0.01843  18.00000  -0.1213  0.0206  0.6361   0.01337
  14.000   1.9426   0.02501  18.00000  -0.1119  0.0183  0.6469   0.02013
  15.000   1.8085   0.04751  18.00000  -0.1084  0.0181  0.6539   0.04316
  16.000   1.5798   0.08311  18.00000  -0.1116  0.0198  0.6566   0.07946
  17.000   1.5044   0.10690  18.00000  -0.1188  0.0189  0.6626   0.10355
  18.000   1.4670   0.12725  18.00000  -0.1270  0.0171  0.6695   0.12413
  19.000   1.4529   0.14460  18.00000  -0.1357  0.0158  0.6777   0.14165
  20.000   1.4559   0.15925  18.00000  -0.1444  0.0143  0.6861   0.15644
