  
       RFOIL         Version 1.1
  
 Calculated polar for: OSO-21-WT1                      
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -20.000  -0.8933   0.12058   3.00000  -0.0169  1.0000  0.0226   0.11841
 -18.000  -1.0273   0.06512   3.00000  -0.0546  1.0000  0.0241   0.06206
 -17.000  -1.0551   0.04927   3.00000  -0.0642  1.0000  0.0255   0.04591
 -16.000  -1.0569   0.03866   3.00000  -0.0693  1.0000  0.0269   0.03509
 -15.000  -1.0436   0.03095   3.00000  -0.0716  1.0000  0.0287   0.02720
 -14.000  -1.0120   0.02523   3.00000  -0.0735  0.7856  0.0311   0.02076
 -13.000  -0.9649   0.02077   3.00000  -0.0746  0.6733  0.0339   0.01586
 -12.000  -0.9011   0.01724   3.00000  -0.0757  0.6218  0.0377   0.01211
 -11.000  -0.8247   0.01453   3.00000  -0.0772  0.5846  0.0423   0.00923
 -10.000  -0.7115   0.01249   3.00000  -0.0835  0.5521  0.0493   0.00708
  -9.000  -0.5812   0.01104   3.00000  -0.0910  0.5251  0.0587   0.00552
  -8.000  -0.4480   0.01000   3.00000  -0.0975  0.5014  0.0716   0.00443
  -7.000  -0.3168   0.00924   3.00000  -0.1025  0.4802  0.0900   0.00367
  -6.000  -0.1854   0.00865   3.00000  -0.1072  0.4610  0.1142   0.00309
  -5.000  -0.0530   0.00813   3.00000  -0.1119  0.4427  0.1502   0.00263
  -4.000   0.0807   0.00762   3.00000  -0.1168  0.4264  0.2061   0.00225
  -3.000   0.2164   0.00707   3.00000  -0.1222  0.4113  0.2992   0.00194
  -2.000   0.3502   0.00671   3.00000  -0.1269  0.3971  0.3956   0.00179
  -1.000   0.4792   0.00663   3.00000  -0.1303  0.3840  0.4574   0.00180
   0.000   0.6051   0.00672   3.00000  -0.1330  0.3716  0.4947   0.00190
   1.000   0.7294   0.00689   3.00000  -0.1352  0.3598  0.5242   0.00207
   2.000   0.8524   0.00712   3.00000  -0.1372  0.3491  0.5470   0.00229
   3.000   0.9739   0.00740   3.00000  -0.1390  0.3383  0.5647   0.00256
   4.000   1.0945   0.00771   3.00000  -0.1407  0.3281  0.5800   0.00288
   5.000   1.2136   0.00808   3.00000  -0.1421  0.3182  0.5936   0.00324
   6.000   1.3311   0.00849   3.00000  -0.1432  0.3087  0.6066   0.00367
   7.000   1.4469   0.00895   3.00000  -0.1442  0.2993  0.6194   0.00416
   8.000   1.5604   0.00949   3.00000  -0.1448  0.2844  0.6314   0.00471
   9.000   1.6701   0.01019   3.00000  -0.1449  0.2674  0.6436   0.00540
  10.000   1.7746   0.01109   3.00000  -0.1442  0.2474  0.6554   0.00627
  11.000   1.8624   0.01278   3.00000  -0.1409  0.2067  0.6671   0.00779
  12.000   1.8765   0.01686   3.00000  -0.1261  0.1351  0.6786   0.01149
  13.000   1.8002   0.02788   3.00000  -0.1095  0.0846  0.6896   0.02254
  14.000   1.6613   0.05258   3.00000  -0.1085  0.0783  0.6980   0.04787
  16.000   1.3949   0.10931   3.00000  -0.1196  0.0653  0.7086   0.10559
  17.000   1.3410   0.13261   3.00000  -0.1294  0.0493  0.7152   0.12908
  18.000   1.3244   0.15084   3.00000  -0.1392  0.0387  0.7236   0.14746
  19.000   1.3276   0.16605   3.00000  -0.1488  0.0319  0.7331   0.16280
  20.000   1.3376   0.18020   3.00000  -0.1592  0.0269  0.7425   0.17708
