  
       RFOIL         Version 1.1
  
 Calculated polar for: OSO-21-WT1                      
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =     6.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -20.000  -1.0162   0.09708   6.00000  -0.0337  0.6284  0.0134   0.09357
 -19.000  -1.0805   0.07144   6.00000  -0.0513  0.6040  0.0137   0.06749
 -18.000  -1.1104   0.05462   6.00000  -0.0621  0.5798  0.0142   0.05034
 -17.000  -1.1179   0.04283   6.00000  -0.0685  0.5570  0.0148   0.03829
 -16.000  -1.1107   0.03409   6.00000  -0.0721  0.5358  0.0155   0.02932
 -15.000  -1.0885   0.02800   6.00000  -0.0745  0.0500  0.0168   0.02228
 -14.000  -1.0524   0.02298   6.00000  -0.0750  0.0500  0.0178   0.01713
 -13.000  -0.9997   0.01897   6.00000  -0.0757  0.0500  0.0196   0.01301
 -12.000  -0.9297   0.01601   6.00000  -0.0765  0.0500  0.0213   0.00995
 -11.000  -0.8374   0.01389   6.00000  -0.0798  0.0500  0.0241   0.00774
 -10.000  -0.7125   0.01237   6.00000  -0.0868  0.0500  0.0278   0.00613
  -9.000  -0.5789   0.01130   6.00000  -0.0939  0.0500  0.0327   0.00497
  -8.000  -0.4496   0.01063   6.00000  -0.0986  0.0500  0.0387   0.00426
  -7.000  -0.3203   0.01016   6.00000  -0.1028  0.0500  0.0462   0.00375
  -6.000  -0.1918   0.00987   6.00000  -0.1065  0.0500  0.0500   0.00341
  -5.000  -0.0643   0.00974   6.00000  -0.1098  0.0500  0.0500   0.00320
  -4.000   0.0629   0.00967   6.00000  -0.1129  0.0500  0.0500   0.00308
  -3.000   0.1894   0.00967   6.00000  -0.1159  0.0500  0.0500   0.00303
  -2.000   0.3153   0.00973   6.00000  -0.1187  0.0500  0.0500   0.00304
  -1.000   0.4403   0.00985   6.00000  -0.1213  0.0500  0.0500   0.00313
   0.000   0.5643   0.01004   6.00000  -0.1238  0.0500  0.0500   0.00329
   1.000   0.6871   0.01028   6.00000  -0.1260  0.0500  0.0500   0.00351
   2.000   0.8086   0.01058   6.00000  -0.1280  0.0500  0.0500   0.00380
   3.000   0.9285   0.01094   6.00000  -0.1298  0.0500  0.0500   0.00416
   4.000   1.0467   0.01138   6.00000  -0.1313  0.0500  0.0500   0.00460
   5.000   1.1627   0.01188   6.00000  -0.1324  0.0500  0.0500   0.00512
   6.000   1.2761   0.01245   6.00000  -0.1332  0.0500  0.0500   0.00572
   7.000   1.3865   0.01312   6.00000  -0.1335  0.0500  0.0500   0.00642
   8.000   1.4928   0.01388   6.00000  -0.1331  0.0500  0.0500   0.00723
   9.000   1.5906   0.01493   6.00000  -0.1314  0.0446  0.0500   0.00830
  10.000   1.6576   0.01656   6.00000  -0.1245  0.0312  0.0500   0.00993
  11.000   1.7064   0.01907   6.00000  -0.1161  0.0243  0.0500   0.01251
  12.000   1.7218   0.02429   6.00000  -0.1075  0.0204  0.0500   0.01790
  13.000   1.6574   0.04003   6.00000  -0.1046  0.0193  0.0500   0.03407
  14.000   1.4621   0.07104   6.00000  -0.1060  0.0213  0.0500   0.06573
  15.000   1.3666   0.09582   6.00000  -0.1120  0.0198  0.0500   0.09092
  16.000   1.3311   0.11538   6.00000  -0.1190  0.0185  0.0500   0.11074
  17.000   1.3190   0.13241   6.00000  -0.1266  0.0169  0.0500   0.12797
  18.000   1.3201   0.14786   6.00000  -0.1350  0.0155  0.0500   0.14360
  20.000   1.3561   0.17670   6.00000  -0.1568  0.0126  0.6565   0.17352
