  
       RFOIL         Version 1.1
  
 Calculated polar for: OSO-21-WT1                      
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    12.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -22.000  -1.0593   0.12319  12.00000  -0.0151  1.0000  0.0150   0.12140
 -21.000  -1.1588   0.08910  12.00000  -0.0391  1.0000  0.0153   0.08686
 -20.000  -1.2126   0.06685  12.00000  -0.0541  1.0000  0.0156   0.06429
 -19.000  -1.2440   0.05085  12.00000  -0.0638  1.0000  0.0164   0.04803
 -18.000  -1.2550   0.03938  12.00000  -0.0695  1.0000  0.0171   0.03636
 -17.000  -1.2453   0.03159  12.00000  -0.0723  0.7695  0.0180   0.02781
 -16.000  -1.2275   0.02521  12.00000  -0.0736  0.6709  0.0192   0.02107
 -15.000  -1.1904   0.02026  12.00000  -0.0742  0.6216  0.0205   0.01592
 -14.000  -1.1309   0.01655  12.00000  -0.0752  0.5846  0.0222   0.01207
 -13.000  -1.0596   0.01369  12.00000  -0.0762  0.5525  0.0243   0.00910
 -12.000  -0.9477   0.01163  12.00000  -0.0823  0.5254  0.0275   0.00696
 -11.000  -0.8175   0.01016  12.00000  -0.0898  0.5012  0.0315   0.00542
 -10.000  -0.6843   0.00914  12.00000  -0.0963  0.4793  0.0368   0.00436
  -9.000  -0.5548   0.00843  12.00000  -0.1008  0.4582  0.0439   0.00364
  -8.000  -0.4250   0.00788  12.00000  -0.1049  0.4399  0.0525   0.00308
  -7.000  -0.2947   0.00741  12.00000  -0.1090  0.4237  0.0642   0.00262
  -6.000  -0.1642   0.00702  12.00000  -0.1129  0.4080  0.0802   0.00226
  -5.000  -0.0335   0.00669  12.00000  -0.1167  0.3939  0.1019   0.00197
  -4.000   0.0968   0.00643  12.00000  -0.1204  0.3803  0.1287   0.00176
  -3.000   0.2275   0.00618  12.00000  -0.1242  0.3673  0.1705   0.00160
  -2.000   0.3584   0.00594  12.00000  -0.1281  0.3555  0.2271   0.00149
  -1.000   0.4895   0.00573  12.00000  -0.1320  0.3441  0.3023   0.00143
   0.000   0.6195   0.00558  12.00000  -0.1357  0.3333  0.3834   0.00144
   1.000   0.7466   0.00559  12.00000  -0.1386  0.3229  0.4392   0.00153
   2.000   0.8715   0.00570  12.00000  -0.1410  0.3130  0.4782   0.00167
   3.000   0.9951   0.00586  12.00000  -0.1432  0.3034  0.5085   0.00185
   4.000   1.1173   0.00608  12.00000  -0.1451  0.2942  0.5301   0.00207
   5.000   1.2383   0.00633  12.00000  -0.1469  0.2852  0.5478   0.00233
   6.000   1.3579   0.00662  12.00000  -0.1484  0.2764  0.5626   0.00262
   7.000   1.4737   0.00718  12.00000  -0.1494  0.2534  0.5764   0.00308
   8.000   1.5869   0.00785  12.00000  -0.1500  0.2291  0.5894   0.00365
   9.000   1.6862   0.00946  12.00000  -0.1484  0.1683  0.6020   0.00492
  10.000   1.7605   0.01240  12.00000  -0.1430  0.0784  0.6134   0.00732
  11.000   1.8322   0.01464  12.00000  -0.1370  0.0411  0.6248   0.00936
  12.000   1.8755   0.01683  12.00000  -0.1264  0.0309  0.6361   0.01156
  13.000   1.8979   0.02090  12.00000  -0.1162  0.0249  0.6479   0.01572
  14.000   1.8607   0.03209  12.00000  -0.1094  0.0227  0.6576   0.02722
  16.000   1.5017   0.09380  12.00000  -0.1149  0.0242  0.6671   0.09017
  17.000   1.4509   0.11517  12.00000  -0.1222  0.0225  0.6738   0.11181
  18.000   1.4294   0.13336  12.00000  -0.1300  0.0202  0.6814   0.13019
  19.000   1.4197   0.15032  12.00000  -0.1391  0.0181  0.6898   0.14732
  20.000   1.4264   0.16448  12.00000  -0.1480  0.0164  0.6987   0.16161

