  
       RFOIL         Version 1.1
  
 Calculated polar for: OSO-21-WT1                      
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    12.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -20.000  -1.1494   0.07551  12.00000  -0.0490  0.5691  0.0109   0.07185
 -19.000  -1.1863   0.05742  12.00000  -0.0608  0.5502  0.0113   0.05346
 -18.000  -1.2078   0.04399  12.00000  -0.0683  0.5323  0.0120   0.03978
 -17.000  -1.2079   0.03456  12.00000  -0.0723  0.5142  0.0125   0.03014
 -16.000  -1.1929   0.02767  12.00000  -0.0738  0.4971  0.0131   0.02308
 -15.000  -1.1629   0.02228  12.00000  -0.0744  0.4803  0.0139   0.01755
 -14.000  -1.1103   0.01866  12.00000  -0.0756  0.0500  0.0152   0.01321
 -13.000  -1.0416   0.01557  12.00000  -0.0766  0.0500  0.0163   0.01002
 -12.000  -0.9536   0.01334  12.00000  -0.0793  0.0500  0.0183   0.00772
 -11.000  -0.8292   0.01180  12.00000  -0.0863  0.0500  0.0203   0.00609
 -10.000  -0.6952   0.01067  12.00000  -0.0937  0.0500  0.0235   0.00490
  -9.000  -0.5664   0.01000  12.00000  -0.0982  0.0500  0.0275   0.00419
  -8.000  -0.4373   0.00949  12.00000  -0.1023  0.0500  0.0325   0.00365
  -7.000  -0.3080   0.00910  12.00000  -0.1063  0.0500  0.0386   0.00324
  -6.000  -0.1786   0.00880  12.00000  -0.1100  0.0500  0.0479   0.00292
  -5.000  -0.0507   0.00868  12.00000  -0.1132  0.0500  0.0500   0.00276
  -4.000   0.0764   0.00864  12.00000  -0.1162  0.0500  0.0500   0.00267
  -3.000   0.2030   0.00865  12.00000  -0.1191  0.0500  0.0500   0.00264
  -2.000   0.3290   0.00872  12.00000  -0.1218  0.0500  0.0500   0.00267
  -1.000   0.4542   0.00884  12.00000  -0.1244  0.0500  0.0500   0.00276
   0.000   0.5786   0.00900  12.00000  -0.1268  0.0500  0.0500   0.00290
   1.000   0.7019   0.00922  12.00000  -0.1290  0.0500  0.0500   0.00310
   2.000   0.8240   0.00949  12.00000  -0.1311  0.0500  0.0500   0.00335
   3.000   0.9448   0.00980  12.00000  -0.1329  0.0500  0.0500   0.00366
   4.000   1.0641   0.01018  12.00000  -0.1346  0.0500  0.0500   0.00403
   5.000   1.1816   0.01061  12.00000  -0.1359  0.0500  0.0500   0.00447
   6.000   1.2971   0.01110  12.00000  -0.1369  0.0500  0.0500   0.00497
   7.000   1.4101   0.01165  12.00000  -0.1376  0.0500  0.0500   0.00555
   8.000   1.5168   0.01252  12.00000  -0.1373  0.0393  0.0500   0.00638
   9.000   1.6168   0.01360  12.00000  -0.1359  0.0277  0.0500   0.00743
  10.000   1.7088   0.01483  12.00000  -0.1333  0.0212  0.0500   0.00865
  11.000   1.7708   0.01635  12.00000  -0.1254  0.0172  0.0500   0.01020
  12.000   1.8178   0.01888  12.00000  -0.1169  0.0153  0.0500   0.01282
  13.000   1.8263   0.02463  12.00000  -0.1082  0.0134  0.0500   0.01875
  14.000   1.7308   0.04339  12.00000  -0.1051  0.0131  0.0500   0.03796
  16.000   1.4215   0.10209  12.00000  -0.1142  0.0135  0.0500   0.09766
  17.000   1.3883   0.12166  12.00000  -0.1218  0.0128  0.0500   0.11746
  20.000   1.4014   0.16836  12.00000  -0.1506  0.0098  0.6339   0.16533
