  
       RFOIL         Version 1.1
  
 Calculated polar for: OSO-21-WT1                      
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -20.000  -0.9647   0.13584   3.00000  -0.0020  0.0126  0.0155   0.13348
 -19.000  -1.0969   0.09617   3.00000  -0.0253  0.7568  0.0157   0.09319
 -18.000  -1.0023   0.06868   3.00000  -0.0528  0.6457  0.0172   0.06446
 -17.000  -1.0221   0.05322   3.00000  -0.0626  0.6118  0.0179   0.04861
 -16.300  -1.0264   0.04492   3.00000  -0.0672  0.5952  0.0185   0.04009
 -15.800  -1.0169   0.04091   3.00000  -0.0706  0.0500  0.0191   0.03498
 -15.000  -1.0075   0.03447   3.00000  -0.0730  0.0500  0.0199   0.02837
 -14.000  -0.9845   0.02820   3.00000  -0.0743  0.0500  0.0216   0.02192
 -13.000  -0.9440   0.02333   3.00000  -0.0751  0.0500  0.0232   0.01691
 -12.000  -0.8876   0.01952   3.00000  -0.0757  0.0500  0.0257   0.01297
 -11.000  -0.8224   0.01670   3.00000  -0.0756  0.0500  0.0281   0.01003
 -10.000  -0.7223   0.01464   3.00000  -0.0799  0.0500  0.0322   0.00786
  -9.000  -0.5972   0.01314   3.00000  -0.0870  0.0500  0.0377   0.00626
  -8.000  -0.4644   0.01211   3.00000  -0.0938  0.0500  0.0448   0.00514
  -7.000  -0.3356   0.01153   3.00000  -0.0984  0.0500  0.0500   0.00449
  -6.000  -0.2079   0.01122   3.00000  -0.1021  0.0500  0.0500   0.00407
  -5.000  -0.0804   0.01102   3.00000  -0.1056  0.0500  0.0500   0.00378
  -4.000   0.0467   0.01091   3.00000  -0.1090  0.0500  0.0500   0.00359
  -3.000   0.1732   0.01088   3.00000  -0.1121  0.0500  0.0500   0.00350
  -2.000   0.2990   0.01093   3.00000  -0.1150  0.0500  0.0500   0.00350
  -1.000   0.4237   0.01105   3.00000  -0.1177  0.0500  0.0500   0.00358
   0.000   0.5473   0.01125   3.00000  -0.1202  0.0500  0.0500   0.00375
   1.000   0.6696   0.01152   3.00000  -0.1224  0.0500  0.0500   0.00400
   2.000   0.7902   0.01187   3.00000  -0.1244  0.0500  0.0500   0.00434
   3.000   0.9090   0.01229   3.00000  -0.1261  0.0500  0.0500   0.00477
   4.000   1.0256   0.01280   3.00000  -0.1274  0.0500  0.0500   0.00529
   5.000   1.1396   0.01339   3.00000  -0.1283  0.0500  0.0500   0.00592
   6.000   1.2502   0.01408   3.00000  -0.1286  0.0500  0.0500   0.00665
   7.000   1.3566   0.01489   3.00000  -0.1283  0.0500  0.0500   0.00751
   8.000   1.4567   0.01585   3.00000  -0.1271  0.0500  0.0500   0.00854
   9.000   1.5448   0.01701   3.00000  -0.1239  0.0500  0.0500   0.00979
  10.000   1.6066   0.01872   3.00000  -0.1167  0.0500  0.0500   0.01163
  11.000   1.6319   0.02304   3.00000  -0.1078  0.0388  0.0500   0.01609
  12.000   1.5946   0.03526   3.00000  -0.1034  0.0337  0.0500   0.02868
  13.000   1.4547   0.06108   3.00000  -0.1048  0.0341  0.0500   0.05512
  14.000   1.3318   0.08683   3.00000  -0.1089  0.0336  0.0500   0.08137
  15.000   1.2805   0.10796   3.00000  -0.1156  0.0292  0.0500   0.10280
  16.000   1.2644   0.12536   3.00000  -0.1227  0.0259  0.0500   0.12044
  17.000   1.2610   0.14145   3.00000  -0.1308  0.0223  0.0500   0.13672
  18.000   1.2705   0.15557   3.00000  -0.1393  0.0198  0.0500   0.15101
  20.000   1.3047   0.18154   3.00000  -0.1583  0.0157  0.0500   0.17728
