  
       RFOIL         Version 1.1
  
 Calculated polar for: OSO-30-WT1                      
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -24.000  -0.8958   0.17643   3.00000   0.0165  1.0000  0.0473   0.17395
 -23.000  -0.6132   0.16500   3.00000  -0.0178  1.0000  0.0543   0.16298
 -22.000  -0.6239   0.15883   3.00000  -0.0232  1.0000  0.0609   0.15669
 -21.000  -0.6393   0.14884   3.00000  -0.0282  1.0000  0.0689   0.14659
 -20.000  -0.6479   0.13776   3.00000  -0.0328  1.0000  0.0791   0.13543
 -19.000  -0.6555   0.12522   3.00000  -0.0372  1.0000  0.0923   0.12284
 -18.000  -0.6632   0.11142   3.00000  -0.0417  1.0000  0.1088   0.10899
 -17.000  -0.6742   0.09691   3.00000  -0.0458  1.0000  0.1315   0.09450
 -16.000  -0.6868   0.08057   3.00000  -0.0516  0.7437  0.1610   0.07734
 -15.000  -0.7127   0.06432   3.00000  -0.0549  0.6775  0.1927   0.06088
 -14.000  -0.7349   0.04985   3.00000  -0.0569  0.6365  0.2212   0.04627
 -13.000  -0.8892   0.03668   3.00000  -0.0516  0.6255  0.2498   0.03278
 -12.000  -0.9163   0.02686   3.00000  -0.0504  0.5968  0.2721   0.02279
 -11.000  -0.9459   0.01860   3.00000  -0.0463  0.5731  0.2906   0.01436
 -10.000  -0.9239   0.01267   3.00000  -0.0462  0.5518  0.3070   0.00827
  -9.000  -0.7808   0.01054   3.00000  -0.0595  0.5277  0.3265   0.00602
  -8.000  -0.6275   0.00948   3.00000  -0.0718  0.5068  0.3443   0.00486
  -7.000  -0.4849   0.00906   3.00000  -0.0799  0.4881  0.3550   0.00434
  -6.000  -0.3452   0.00879   3.00000  -0.0868  0.4714  0.3648   0.00399
  -5.000  -0.2072   0.00863   3.00000  -0.0931  0.4559  0.3741   0.00375
  -4.000  -0.0703   0.00854   3.00000  -0.0991  0.4412  0.3837   0.00359
  -3.000   0.0656   0.00851   3.00000  -0.1047  0.4273  0.3928   0.00350
  -2.000   0.2005   0.00851   3.00000  -0.1100  0.4145  0.4018   0.00346
  -1.000   0.3346   0.00856   3.00000  -0.1151  0.4022  0.4111   0.00347
   0.000   0.4679   0.00864   3.00000  -0.1200  0.3905  0.4206   0.00353
   1.000   0.5999   0.00877   3.00000  -0.1246  0.3791  0.4303   0.00364
   2.000   0.7305   0.00895   3.00000  -0.1288  0.3682  0.4400   0.00380
   3.000   0.8596   0.00917   3.00000  -0.1327  0.3576  0.4499   0.00402
   4.000   0.9869   0.00944   3.00000  -0.1362  0.3472  0.4601   0.00430
   5.000   1.1122   0.00977   3.00000  -0.1393  0.3366  0.4705   0.00463
   6.000   1.2350   0.01015   3.00000  -0.1419  0.3267  0.4811   0.00502
   7.000   1.3548   0.01059   3.00000  -0.1439  0.3169  0.4921   0.00549
   8.000   1.4706   0.01112   3.00000  -0.1451  0.3066  0.5027   0.00605
   9.000   1.5809   0.01175   3.00000  -0.1453  0.2958  0.5141   0.00671
  10.000   1.6782   0.01271   3.00000  -0.1432  0.2774  0.5256   0.00765
  11.000   1.7474   0.01414   3.00000  -0.1359  0.2626  0.5369   0.00911
  12.000   1.8147   0.01604   3.00000  -0.1293  0.2476  0.5485   0.01107
  13.000   1.8594   0.01917   3.00000  -0.1206  0.2319  0.5599   0.01427
  14.000   1.8636   0.02534   3.00000  -0.1102  0.2148  0.5700   0.02057
  15.000   1.7839   0.04000   3.00000  -0.1009  0.2002  0.5786   0.03558
  16.000   1.5980   0.06734   3.00000  -0.0962  0.1877  0.5822   0.06344
  17.000   1.4684   0.09444   3.00000  -0.0999  0.1699  0.5870   0.09088
  18.000   1.3870   0.11908   3.00000  -0.1078  0.1469  0.5936   0.11570
  19.000   1.3420   0.14024   3.00000  -0.1178  0.1242  0.6011   0.13697
  20.000   1.3175   0.15894   3.00000  -0.1294  0.1019  0.6099   0.15571
