  
       RFOIL         Version 1.1
  
 Calculated polar for: OSO-30-WT1                      
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    18.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -26.000  -0.6668   0.17596  18.00000   0.0001  0.5759  0.0178   0.17347
 -24.000  -0.6682   0.16208  18.00000  -0.0156  0.5384  0.0206   0.15928
 -21.000  -0.6729   0.14098  18.00000  -0.0325  0.0500  0.0255   0.13704
 -20.000  -0.6744   0.13068  18.00000  -0.0369  0.0500  0.0280   0.12660
 -19.000  -0.6687   0.11975  18.00000  -0.0412  0.0500  0.0310   0.11554
 -18.000  -0.6536   0.10891  18.00000  -0.0453  0.0500  0.0333   0.10458
 -17.000  -0.6372   0.09772  18.00000  -0.0494  0.0500  0.0369   0.09328
 -16.000  -0.6180   0.08658  18.00000  -0.0530  0.0500  0.0415   0.08205
 -15.000  -0.5967   0.07570  18.00000  -0.0563  0.0500  0.0466   0.07109
 -14.000  -0.5706   0.06554  18.00000  -0.0592  0.0500  0.0500   0.06083
 -13.000  -0.5375   0.05648  18.00000  -0.0615  0.0500  0.0500   0.05166
 -12.000  -0.5040   0.04797  18.00000  -0.0635  0.0500  0.0500   0.04305
 -11.000  -0.5877   0.03982  18.00000  -0.0599  0.0500  0.0500   0.03449
 -10.000  -0.5568   0.03337  18.00000  -0.0610  0.0500  0.0500   0.02793
  -9.000  -0.5337   0.02723  18.00000  -0.0609  0.0500  0.0500   0.02168
  -8.000  -0.5267   0.02133  18.00000  -0.0583  0.0500  0.0500   0.01566
  -7.000  -0.5371   0.01561  18.00000  -0.0519  0.0500  0.0500   0.00981
  -6.000  -0.4173   0.01335  18.00000  -0.0616  0.0500  0.0500   0.00746
  -5.000  -0.2692   0.01212  18.00000  -0.0738  0.0500  0.0500   0.00616
  -4.000  -0.1160   0.01137  18.00000  -0.0857  0.0500  0.0500   0.00535
  -3.000   0.0268   0.01107  18.00000  -0.0938  0.0500  0.0500   0.00501
  -2.000   0.1650   0.01094  18.00000  -0.1005  0.0500  0.0500   0.00485
  -1.000   0.3012   0.01090  18.00000  -0.1065  0.0500  0.0500   0.00479
   0.000   0.4356   0.01093  18.00000  -0.1120  0.0500  0.0500   0.00481
   1.000   0.5683   0.01104  18.00000  -0.1171  0.0500  0.0500   0.00491
   2.000   0.6989   0.01121  18.00000  -0.1216  0.0500  0.0500   0.00507
   3.000   0.8274   0.01145  18.00000  -0.1257  0.0500  0.0500   0.00530
   4.000   0.9534   0.01176  18.00000  -0.1292  0.0500  0.0500   0.00561
   5.000   1.0763   0.01214  18.00000  -0.1321  0.0500  0.0500   0.00599
   6.000   1.1952   0.01259  18.00000  -0.1342  0.0500  0.0500   0.00645
   7.000   1.3083   0.01312  18.00000  -0.1351  0.0500  0.0500   0.00700
   8.000   1.4135   0.01378  18.00000  -0.1345  0.0500  0.0500   0.00768
   9.000   1.4866   0.01474  18.00000  -0.1278  0.0500  0.0500   0.00869
  10.000   1.5599   0.01629  18.00000  -0.1220  0.0500  0.0500   0.01030
  11.000   1.6206   0.01852  18.00000  -0.1152  0.0500  0.0500   0.01261
  12.000   1.6496   0.02282  18.00000  -0.1064  0.0459  0.0500   0.01702
  13.000   1.6121   0.03316  18.00000  -0.0971  0.0408  0.0500   0.02759
  14.000   1.4686   0.05508  18.00000  -0.0912  0.0403  0.0500   0.04997
  15.000   1.3497   0.07872  18.00000  -0.0922  0.0391  0.0500   0.07400
  16.000   1.2979   0.09832  18.00000  -0.0970  0.0354  0.0500   0.09384
  17.000   1.2754   0.11593  18.00000  -0.1035  0.0332  0.0500   0.11165
  18.000   1.2897   0.13148  18.00000  -0.1135  0.0294  0.4670   0.12789
  19.000   1.2938   0.14629  18.00000  -0.1219  0.0273  0.4755   0.14284
  20.000   1.3061   0.15972  18.00000  -0.1307  0.0245  0.4847   0.15639
