  
       RFOIL         Version 1.1
  
 Calculated polar for: OSO-30-WT1                      
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -24.000  -0.9049   0.19990   3.00000   0.0270  0.0372  0.0303   0.19722
 -23.000  -0.9003   0.19266   3.00000   0.0202  0.0372  0.0331   0.18987
 -22.000  -0.7620   0.19776   3.00000   0.0033  0.0372  0.0370   0.19519
 -20.000  -0.5553   0.14183   3.00000  -0.0351  0.0500  0.0477   0.13687
 -19.000  -0.5472   0.13297   3.00000  -0.0392  0.0500  0.0500   0.12782
 -18.000  -0.5281   0.12398   3.00000  -0.0431  0.0500  0.0500   0.11864
 -17.000  -0.5047   0.11447   3.00000  -0.0470  0.0500  0.0500   0.10895
 -16.000  -0.4778   0.10465   3.00000  -0.0509  0.0500  0.0500   0.09895
 -15.000  -0.4443   0.09542   3.00000  -0.0544  0.0500  0.0500   0.08957
 -14.000  -0.4097   0.08598   3.00000  -0.0577  0.0500  0.0500   0.07998
 -13.000  -0.3738   0.07673   3.00000  -0.0608  0.0500  0.0500   0.07059
 -12.000  -0.3342   0.06822   3.00000  -0.0633  0.0500  0.0500   0.06195
 -11.000  -0.2957   0.05976   3.00000  -0.0656  0.0500  0.0500   0.05337
 -10.000  -0.2573   0.05171   3.00000  -0.0674  0.0500  0.0500   0.04520
  -9.000  -0.2190   0.04416   3.00000  -0.0688  0.0500  0.0500   0.03754
  -8.000  -0.2713   0.03877   3.00000  -0.0659  0.0500  0.0500   0.03168
  -7.000  -0.2373   0.03307   3.00000  -0.0662  0.0500  0.0500   0.02585
  -6.000  -0.2117   0.02784   3.00000  -0.0649  0.0500  0.0500   0.02050
  -5.000  -0.1949   0.02285   3.00000  -0.0617  0.0500  0.0500   0.01541
  -4.000  -0.1883   0.01836   3.00000  -0.0557  0.0500  0.0500   0.01079
  -3.000  -0.0665   0.01634   3.00000  -0.0654  0.0500  0.0500   0.00868
  -2.000   0.0789   0.01526   3.00000  -0.0771  0.0500  0.0500   0.00752
  -1.000   0.2274   0.01469   3.00000  -0.0880  0.0500  0.0500   0.00687
   0.000   0.3667   0.01453   3.00000  -0.0957  0.0500  0.0500   0.00668
   1.000   0.4992   0.01460   3.00000  -0.1015  0.0500  0.0500   0.00673
   2.000   0.6275   0.01481   3.00000  -0.1062  0.0500  0.0500   0.00693
   3.000   0.7511   0.01514   3.00000  -0.1098  0.0500  0.0500   0.00728
   4.000   0.8689   0.01561   3.00000  -0.1122  0.0500  0.0500   0.00776
   5.000   0.9768   0.01623   3.00000  -0.1127  0.0500  0.0500   0.00841
   6.000   1.0526   0.01714   3.00000  -0.1070  0.0500  0.0500   0.00939
   7.000   1.1336   0.01869   3.00000  -0.1032  0.0500  0.0500   0.01102
   8.000   1.2002   0.02098   3.00000  -0.0982  0.0500  0.0500   0.01343
   9.000   1.2447   0.02495   3.00000  -0.0925  0.0500  0.0500   0.01756
  10.000   1.2516   0.03299   3.00000  -0.0878  0.0500  0.0500   0.02588
  11.000   1.1972   0.04828   3.00000  -0.0854  0.0500  0.0500   0.04158
  12.000   1.1043   0.06779   3.00000  -0.0847  0.0500  0.0500   0.06153
  13.000   1.0618   0.08519   3.00000  -0.0878  0.0500  0.0500   0.07927
  14.000   1.0545   0.10012   3.00000  -0.0924  0.0500  0.0500   0.09445
  15.000   1.0610   0.11416   3.00000  -0.0981  0.0500  0.0500   0.10873
  16.000   1.0797   0.12681   3.00000  -0.1043  0.0500  0.0500   0.12157
  17.000   1.1044   0.13886   3.00000  -0.1113  0.0500  0.0500   0.13381
  19.000   1.1826   0.16291   3.00000  -0.1312  0.0500  0.5327   0.15896
  20.000   1.2098   0.17451   3.00000  -0.1402  0.0485  0.5409   0.17071

