  
       RFOIL         Version 1.1
  
 Calculated polar for: OSO-30-WT1                      
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =     6.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -24.000  -0.9345   0.17070   6.00000   0.0127  1.0000  0.0399   0.16848
 -23.000  -0.9113   0.15880   6.00000   0.0027  1.0000  0.0441   0.15651
 -22.000  -0.8848   0.14787   6.00000  -0.0058  1.0000  0.0491   0.14555
 -21.000  -0.8610   0.13642   6.00000  -0.0138  1.0000  0.0547   0.13405
 -20.000  -0.8408   0.12466   6.00000  -0.0211  1.0000  0.0620   0.12224
 -19.000  -0.8237   0.11276   6.00000  -0.0276  1.0000  0.0705   0.11030
 -18.000  -0.8094   0.10090   6.00000  -0.0333  1.0000  0.0819   0.09841
 -17.000  -0.7965   0.08897   6.00000  -0.0391  0.7137  0.0972   0.08551
 -16.000  -0.7986   0.07607   6.00000  -0.0441  0.6579  0.1168   0.07242
 -15.000  -0.8103   0.06318   6.00000  -0.0480  0.6210  0.1406   0.05941
 -14.000  -0.8454   0.04926   6.00000  -0.0508  0.5945  0.1710   0.04543
 -13.000  -0.8904   0.03619   6.00000  -0.0517  0.5744  0.2028   0.03230
 -12.000  -0.9445   0.02476   6.00000  -0.0495  0.5554  0.2283   0.02075
 -10.000  -0.9087   0.01021   6.00000  -0.0552  0.5172  0.2798   0.00601
  -9.000  -0.7501   0.00882   6.00000  -0.0694  0.4966  0.3021   0.00455
  -8.000  -0.6036   0.00814   6.00000  -0.0788  0.4785  0.3268   0.00388
  -7.000  -0.4643   0.00788   6.00000  -0.0856  0.4617  0.3386   0.00356
  -6.000  -0.3262   0.00770   6.00000  -0.0919  0.4466  0.3486   0.00333
  -5.000  -0.1890   0.00759   6.00000  -0.0978  0.4323  0.3583   0.00316
  -4.000  -0.0527   0.00752   6.00000  -0.1035  0.4187  0.3675   0.00305
  -3.000   0.0829   0.00750   6.00000  -0.1089  0.4056  0.3771   0.00299
  -2.000   0.2177   0.00752   6.00000  -0.1141  0.3934  0.3862   0.00297
  -1.000   0.3516   0.00757   6.00000  -0.1191  0.3818  0.3954   0.00299
   0.000   0.4847   0.00766   6.00000  -0.1238  0.3707  0.4046   0.00305
   1.000   0.6168   0.00779   6.00000  -0.1283  0.3599  0.4138   0.00315
   2.000   0.7477   0.00795   6.00000  -0.1325  0.3488  0.4232   0.00329
   3.000   0.8776   0.00815   6.00000  -0.1365  0.3385  0.4327   0.00348
   4.000   1.0061   0.00838   6.00000  -0.1402  0.3285  0.4428   0.00371
   5.000   1.1330   0.00866   6.00000  -0.1436  0.3186  0.4530   0.00398
   6.000   1.2579   0.00898   6.00000  -0.1465  0.3083  0.4635   0.00431
   7.000   1.3805   0.00936   6.00000  -0.1490  0.2979  0.4742   0.00469
   8.000   1.5001   0.00981   6.00000  -0.1509  0.2874  0.4851   0.00514
   9.000   1.6120   0.01052   6.00000  -0.1514  0.2675  0.4956   0.00579
  10.000   1.7164   0.01137   6.00000  -0.1506  0.2487  0.5069   0.00660
  11.000   1.8082   0.01246   6.00000  -0.1474  0.2306  0.5183   0.00765
  12.000   1.8618   0.01432   6.00000  -0.1373  0.2118  0.5293   0.00950
  13.000   1.8979   0.01745   6.00000  -0.1263  0.1891  0.5403   0.01262
  14.000   1.8845   0.02404   6.00000  -0.1126  0.1652  0.5503   0.01926
  15.000   1.7854   0.03975   6.00000  -0.1014  0.1495  0.5569   0.03529
  16.000   1.5924   0.06782   6.00000  -0.0968  0.1410  0.5600   0.06390
  17.000   1.4617   0.09535   6.00000  -0.1009  0.1260  0.5644   0.09177
  18.000   1.3833   0.11981   6.00000  -0.1089  0.1067  0.5705   0.11642
  19.000   1.3482   0.13954   6.00000  -0.1182  0.0897  0.5783   0.13626
  20.000   1.3355   0.15642   6.00000  -0.1284  0.0746  0.5875   0.15323
