  
       RFOIL         Version 1.1
  
 Calculated polar for: OSO-30-WT1                      
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =     6.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -23.000  -0.6058   0.16109   6.00000  -0.0189  0.6047  0.0300   0.15798
 -22.000  -0.5944   0.15337   6.00000  -0.0262  0.0500  0.0325   0.14914
 -21.000  -0.5991   0.14716   6.00000  -0.0311  0.0500  0.0357   0.14276
 -20.000  -0.5995   0.13835   6.00000  -0.0355  0.0500  0.0387   0.13377
 -19.000  -0.5967   0.12820   6.00000  -0.0398  0.0500  0.0430   0.12346
 -18.000  -0.5882   0.11734   6.00000  -0.0440  0.0500  0.0481   0.11247
 -17.000  -0.5668   0.10700   6.00000  -0.0480  0.0500  0.0500   0.10198
 -16.000  -0.5363   0.09736   6.00000  -0.0517  0.0500  0.0500   0.09220
 -15.000  -0.5021   0.08798   6.00000  -0.0551  0.0500  0.0500   0.08268
 -14.000  -0.4684   0.07838   6.00000  -0.0584  0.0500  0.0500   0.07295
 -13.000  -0.4313   0.06942   6.00000  -0.0611  0.0500  0.0500   0.06387
 -12.000  -0.3931   0.06089   6.00000  -0.0635  0.0500  0.0500   0.05522
 -11.000  -0.3562   0.05251   6.00000  -0.0655  0.0500  0.0500   0.04673
 -10.000  -0.4205   0.04469   6.00000  -0.0625  0.0500  0.0500   0.03847
  -9.000  -0.3863   0.03810   6.00000  -0.0640  0.0500  0.0500   0.03176
  -8.000  -0.3510   0.03236   6.00000  -0.0646  0.0500  0.0500   0.02590
  -7.000  -0.3299   0.02665   6.00000  -0.0635  0.0500  0.0500   0.02007
  -6.000  -0.3150   0.02144   6.00000  -0.0605  0.0500  0.0500   0.01475
  -5.000  -0.3037   0.01677   6.00000  -0.0558  0.0500  0.0500   0.00996
  -4.000  -0.1762   0.01481   6.00000  -0.0663  0.0500  0.0500   0.00790
  -3.000  -0.0282   0.01374   6.00000  -0.0782  0.0500  0.0500   0.00675
  -2.000   0.1226   0.01313   6.00000  -0.0894  0.0500  0.0500   0.00608
  -1.000   0.2629   0.01294   6.00000  -0.0971  0.0500  0.0500   0.00585
   0.000   0.3983   0.01292   6.00000  -0.1033  0.0500  0.0500   0.00581
   1.000   0.5307   0.01302   6.00000  -0.1086  0.0500  0.0500   0.00589
   2.000   0.6601   0.01322   6.00000  -0.1132  0.0500  0.0500   0.00608
   3.000   0.7863   0.01351   6.00000  -0.1171  0.0500  0.0500   0.00638
   4.000   0.9085   0.01390   6.00000  -0.1201  0.0500  0.0500   0.00678
   5.000   1.0252   0.01439   6.00000  -0.1220  0.0500  0.0500   0.00729
   6.000   1.1334   0.01501   6.00000  -0.1223  0.0500  0.0500   0.00794
   7.000   1.2133   0.01586   6.00000  -0.1171  0.0500  0.0500   0.00884
   8.000   1.2903   0.01734   6.00000  -0.1121  0.0500  0.0500   0.01039
   9.000   1.3573   0.01945   6.00000  -0.1065  0.0500  0.0500   0.01260
  10.000   1.4043   0.02295   6.00000  -0.1000  0.0500  0.0500   0.01623
  11.000   1.4162   0.02986   6.00000  -0.0937  0.0500  0.0500   0.02336
  12.000   1.3589   0.04447   6.00000  -0.0895  0.0500  0.0500   0.03836
  13.000   1.2385   0.06612   6.00000  -0.0876  0.0500  0.0500   0.06047
  14.000   1.1826   0.08480   6.00000  -0.0905  0.0500  0.0500   0.07948
  15.000   1.1631   0.10130   6.00000  -0.0954  0.0500  0.0500   0.09624
  16.000   1.1694   0.11502   6.00000  -0.1008  0.0500  0.0500   0.11016
  17.000   1.1803   0.12882   6.00000  -0.1075  0.0500  0.0500   0.12415
  18.000   1.1961   0.14191   6.00000  -0.1150  0.0474  0.0500   0.13740
  19.000   1.2249   0.15689   6.00000  -0.1277  0.0411  0.5112   0.15318
  20.000   1.2443   0.16948   6.00000  -0.1370  0.0372  0.5183   0.16589
