  
       RFOIL         Version 1.1
  
 Calculated polar for: OSO-30-WT1                      
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    12.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -24.000  -0.9726   0.16474  12.00000   0.0090  1.0000  0.0340   0.16271
 -23.000  -0.9478   0.15325  12.00000  -0.0003  1.0000  0.0369   0.15116
 -22.000  -0.9256   0.14154  12.00000  -0.0089  1.0000  0.0407   0.13938
 -21.000  -0.8981   0.13100  12.00000  -0.0160  1.0000  0.0448   0.12881
 -20.000  -0.8768   0.11954  12.00000  -0.0229  1.0000  0.0500   0.11729
 -19.000  -0.8533   0.10822  12.00000  -0.0293  0.7112  0.0560   0.10501
 -18.000  -0.8352   0.09679  12.00000  -0.0351  0.6503  0.0639   0.09336
 -17.000  -0.8185   0.08570  12.00000  -0.0401  0.6128  0.0733   0.08212
 -16.000  -0.8048   0.07478  12.00000  -0.0445  0.5847  0.0846   0.07110
 -15.000  -0.8035   0.06310  12.00000  -0.0484  0.5621  0.1000   0.05931
 -14.000  -0.8117   0.05152  12.00000  -0.0513  0.5455  0.1201   0.04768
 -13.000  -0.8323   0.03989  12.00000  -0.0530  0.5288  0.1417   0.03597
 -12.000  -0.8819   0.02793  12.00000  -0.0521  0.5143  0.1690   0.02394
 -11.000  -0.9634   0.01674  12.00000  -0.0460  0.5035  0.1945   0.01264
 -10.000  -0.9050   0.00992  12.00000  -0.0560  0.4866  0.2321   0.00581
  -9.000  -0.7380   0.00813  12.00000  -0.0728  0.4687  0.2696   0.00407
  -8.000  -0.5938   0.00756  12.00000  -0.0813  0.4520  0.2946   0.00353
  -7.000  -0.4516   0.00714  12.00000  -0.0889  0.4371  0.3196   0.00314
  -6.000  -0.3139   0.00698  12.00000  -0.0950  0.4232  0.3318   0.00295
  -5.000  -0.1772   0.00689  12.00000  -0.1008  0.4090  0.3420   0.00282
  -4.000  -0.0412   0.00684  12.00000  -0.1063  0.3963  0.3518   0.00273
  -3.000   0.0941   0.00683  12.00000  -0.1116  0.3842  0.3606   0.00269
  -2.000   0.2289   0.00684  12.00000  -0.1168  0.3726  0.3698   0.00267
  -1.000   0.3629   0.00689  12.00000  -0.1217  0.3614  0.3789   0.00270
   0.000   0.4962   0.00697  12.00000  -0.1264  0.3507  0.3888   0.00275
   1.000   0.6286   0.00708  12.00000  -0.1309  0.3404  0.3980   0.00284
   2.000   0.7601   0.00723  12.00000  -0.1352  0.3303  0.4074   0.00297
   3.000   0.8905   0.00740  12.00000  -0.1393  0.3205  0.4170   0.00313
   4.000   1.0196   0.00762  12.00000  -0.1430  0.3098  0.4267   0.00333
   5.000   1.1474   0.00787  12.00000  -0.1465  0.3001  0.4366   0.00356
   6.000   1.2735   0.00817  12.00000  -0.1497  0.2897  0.4467   0.00385
   7.000   1.3975   0.00852  12.00000  -0.1524  0.2782  0.4561   0.00418
   8.000   1.5158   0.00912  12.00000  -0.1541  0.2568  0.4666   0.00470
   9.000   1.6280   0.00990  12.00000  -0.1547  0.2328  0.4773   0.00538
  10.000   1.7337   0.01079  12.00000  -0.1540  0.2113  0.4882   0.00619
  11.000   1.8244   0.01202  12.00000  -0.1507  0.1866  0.4992   0.00731
  12.000   1.8589   0.01445  12.00000  -0.1372  0.1560  0.5096   0.00964
  13.000   1.8787   0.01824  12.00000  -0.1239  0.1308  0.5199   0.01339
  14.000   1.8423   0.02656  12.00000  -0.1093  0.1088  0.5281   0.02180
  15.000   1.7196   0.04518  12.00000  -0.0996  0.1000  0.5340   0.04082
  16.000   1.5398   0.07315  12.00000  -0.0972  0.0957  0.5371   0.06929
  17.000   1.4368   0.09836  12.00000  -0.1020  0.0861  0.5418   0.09482
  18.000   1.3822   0.11981  12.00000  -0.1093  0.0738  0.5477   0.11644
  19.000   1.3618   0.13745  12.00000  -0.1176  0.0639  0.5563   0.13421
