  
       RFOIL         Version 1.1
  
 Calculated polar for: OSO-30-WT1                      
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    18.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -30.000  -0.6918   0.20931  18.00000   0.0359  1.0000  0.0195   0.20836
 -28.000  -0.7078   0.19055  18.00000   0.0152  1.0000  0.0232   0.18940
 -26.000  -0.7189   0.17511  18.00000  -0.0025  1.0000  0.0273   0.17377
 -25.000  -0.7214   0.16897  18.00000  -0.0100  1.0000  0.0295   0.16753
 -24.000  -0.7300   0.16531  18.00000  -0.0164  1.0000  0.0321   0.16378
 -23.000  -0.7425   0.15731  18.00000  -0.0215  1.0000  0.0350   0.15567
 -22.000  -0.7455   0.14704  18.00000  -0.0268  0.7744  0.0385   0.14464
 -21.000  -0.7460   0.13627  18.00000  -0.0317  0.6788  0.0420   0.13352
 -20.000  -0.7446   0.12482  18.00000  -0.0363  0.6418  0.0467   0.12188
 -19.000  -0.7368   0.11311  18.00000  -0.0408  0.6093  0.0515   0.11001
 -18.000  -0.7271   0.10107  18.00000  -0.0451  0.5831  0.0582   0.09785
 -17.000  -0.7148   0.08909  18.00000  -0.0491  0.5607  0.0661   0.08577
 -16.000  -0.6999   0.07743  18.00000  -0.0525  0.5438  0.0754   0.07402
 -15.000  -0.6969   0.06444  18.00000  -0.0556  0.5264  0.0874   0.06094
 -14.000  -0.8065   0.05155  18.00000  -0.0516  0.5208  0.0968   0.04773
 -13.000  -0.8222   0.04026  18.00000  -0.0535  0.5062  0.1145   0.03636
 -12.000  -0.8421   0.03014  18.00000  -0.0536  0.4926  0.1335   0.02616
 -11.000  -0.9070   0.01948  18.00000  -0.0491  0.4828  0.1560   0.01540
 -10.000  -0.9145   0.01090  18.00000  -0.0509  0.4698  0.1881   0.00678
  -9.000  -0.7390   0.00818  18.00000  -0.0723  0.4520  0.2372   0.00415
  -8.000  -0.5907   0.00737  18.00000  -0.0821  0.4369  0.2726   0.00344
  -7.000  -0.4486   0.00695  18.00000  -0.0896  0.4228  0.2977   0.00306
  -6.000  -0.3088   0.00668  18.00000  -0.0963  0.4093  0.3196   0.00281
  -5.000  -0.1722   0.00659  18.00000  -0.1020  0.3951  0.3309   0.00269
  -4.000  -0.0362   0.00653  18.00000  -0.1075  0.3830  0.3411   0.00261
  -3.000   0.0992   0.00651  18.00000  -0.1128  0.3715  0.3510   0.00256
  -2.000   0.2339   0.00653  18.00000  -0.1179  0.3605  0.3601   0.00255
  -1.000   0.3680   0.00658  18.00000  -0.1228  0.3498  0.3692   0.00258
   0.000   0.5014   0.00665  18.00000  -0.1276  0.3394  0.3791   0.00263
   1.000   0.6339   0.00676  18.00000  -0.1321  0.3292  0.3883   0.00271
   2.000   0.7656   0.00689  18.00000  -0.1364  0.3193  0.3976   0.00283
   3.000   0.8961   0.00707  18.00000  -0.1405  0.3086  0.4071   0.00298
   4.000   1.0257   0.00727  18.00000  -0.1443  0.2989  0.4167   0.00317
   5.000   1.1538   0.00752  18.00000  -0.1478  0.2883  0.4265   0.00339
   6.000   1.2804   0.00781  18.00000  -0.1511  0.2775  0.4364   0.00366
   7.000   1.4039   0.00822  18.00000  -0.1537  0.2623  0.4466   0.00403
   8.000   1.5205   0.00896  18.00000  -0.1551  0.2326  0.4569   0.00462
   9.000   1.6329   0.00975  18.00000  -0.1558  0.2088  0.4675   0.00531
  10.000   1.7357   0.01080  18.00000  -0.1546  0.1808  0.4781   0.00622
  11.000   1.8193   0.01228  18.00000  -0.1499  0.1505  0.4877   0.00755
  12.000   1.8482   0.01483  18.00000  -0.1355  0.1221  0.4977   0.01002
  13.000   1.8596   0.01908  18.00000  -0.1215  0.0977  0.5075   0.01423
  16.000   1.5327   0.07368  18.00000  -0.0972  0.0744  0.5237   0.06985
  17.000   1.4471   0.09663  18.00000  -0.1015  0.0678  0.5291   0.09309
  18.000   1.4002   0.11691  18.00000  -0.1082  0.0603  0.5361   0.11356
  19.000   1.3812   0.13421  18.00000  -0.1161  0.0525  0.5434   0.13100
  20.000   1.3759   0.15010  18.00000  -0.1252  0.0467  0.5527   0.14702
