  
       RFOIL         Version 1.1
  
 Calculated polar for: OSO-30-WT1                      
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    12.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -24.000  -0.6487   0.16334  12.00000  -0.0145  0.5700  0.0227   0.16048
 -23.000  -0.6497   0.15839  12.00000  -0.0212  0.5507  0.0248   0.15536
 -20.000  -0.6503   0.13308  12.00000  -0.0365  0.0500  0.0312   0.12882
 -19.000  -0.6454   0.12238  12.00000  -0.0408  0.0500  0.0345   0.11798
 -18.000  -0.6308   0.11191  12.00000  -0.0448  0.0500  0.0384   0.10739
 -17.000  -0.6100   0.10138  12.00000  -0.0488  0.0500  0.0416   0.09675
 -16.000  -0.5909   0.09025  12.00000  -0.0526  0.0500  0.0468   0.08551
 -15.000  -0.5652   0.07980  12.00000  -0.0559  0.0500  0.0500   0.07496
 -14.000  -0.5324   0.07024  12.00000  -0.0589  0.0500  0.0500   0.06528
 -13.000  -0.4985   0.06106  12.00000  -0.0615  0.0500  0.0500   0.05599
 -12.000  -0.5756   0.05085  12.00000  -0.0582  0.0500  0.0500   0.04538
 -11.000  -0.5389   0.04400  12.00000  -0.0603  0.0500  0.0500   0.03841
 -10.000  -0.5026   0.03763  12.00000  -0.0618  0.0500  0.0500   0.03193
  -9.000  -0.4739   0.03129  12.00000  -0.0625  0.0500  0.0500   0.02547
  -8.000  -0.4532   0.02551  12.00000  -0.0615  0.0500  0.0500   0.01958
  -7.000  -0.4447   0.01990  12.00000  -0.0585  0.0500  0.0500   0.01385
  -6.000  -0.4235   0.01526  12.00000  -0.0555  0.0500  0.0500   0.00909
  -5.000  -0.2895   0.01346  12.00000  -0.0667  0.0500  0.0500   0.00720
  -4.000  -0.1392   0.01243  12.00000  -0.0788  0.0500  0.0500   0.00611
  -3.000   0.0122   0.01184  12.00000  -0.0898  0.0500  0.0500   0.00545
  -2.000   0.1519   0.01165  12.00000  -0.0971  0.0500  0.0500   0.00522
  -1.000   0.2887   0.01158  12.00000  -0.1035  0.0500  0.0500   0.00513
   0.000   0.4233   0.01160  12.00000  -0.1091  0.0500  0.0500   0.00514
   1.000   0.5559   0.01171  12.00000  -0.1143  0.0500  0.0500   0.00523
   2.000   0.6861   0.01189  12.00000  -0.1189  0.0500  0.0500   0.00541
   3.000   0.8139   0.01215  12.00000  -0.1229  0.0500  0.0500   0.00566
   4.000   0.9388   0.01248  12.00000  -0.1262  0.0500  0.0500   0.00599
   5.000   1.0600   0.01289  12.00000  -0.1289  0.0500  0.0500   0.00642
   6.000   1.1760   0.01339  12.00000  -0.1304  0.0500  0.0500   0.00693
   7.000   1.2846   0.01400  12.00000  -0.1306  0.0500  0.0500   0.00756
   8.000   1.3818   0.01479  12.00000  -0.1286  0.0500  0.0500   0.00838
   9.000   1.4430   0.01619  12.00000  -0.1201  0.0500  0.0500   0.00985
  10.000   1.5100   0.01815  12.00000  -0.1141  0.0500  0.0500   0.01189
  11.000   1.5597   0.02125  12.00000  -0.1071  0.0500  0.0500   0.01511
  12.000   1.5763   0.02718  12.00000  -0.0996  0.0500  0.0500   0.02122
  13.000   1.5234   0.04035  12.00000  -0.0934  0.0500  0.0500   0.03472
  14.000   1.3769   0.06380  12.00000  -0.0899  0.0500  0.0500   0.05865
  15.000   1.2947   0.08520  12.00000  -0.0928  0.0488  0.0500   0.08039
  16.000   1.2517   0.10446  12.00000  -0.0984  0.0434  0.0500   0.09987
  17.000   1.2410   0.12061  12.00000  -0.1049  0.0401  0.0500   0.11621
  18.000   1.2593   0.13611  12.00000  -0.1157  0.0352  0.4809   0.13245
  19.000   1.2647   0.15087  12.00000  -0.1244  0.0312  0.4897   0.14734
  20.000   1.2833   0.16332  12.00000  -0.1330  0.0288  0.4959   0.15989

